# light	lc	os
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M44	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z2_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G2_Male_WC_Lobby_MM44_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M47	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G5_Quiet_Room_MM47_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M47	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G5_Quiet_Room_MM47_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M48	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G6_Quiet_Room_MM48_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M48	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G6_Quiet_Room_MM48_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M49	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G11_Quiet_Room_MM49_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M49	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G11_Quiet_Room_MM49_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M50	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G12_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G12_Quiet_Room_MM50_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M50	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G12_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G12_Quiet_Room_MM50_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M52	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G13_Collaboration_Lab_MM52_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M52	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G13_Collaboration_Lab_MM52_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M54	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G5_Quiet_Room_MM54_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M54	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G5_Quiet_Room_MM54_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M55	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z4_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G6_Quiet_Room_MM55_TRIGGER
